epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,66.17100751143043,55.00796048334422,71.82459677419355,61.23991935483871
2,73.1823563030699,66.44350097975179,77.87298387096774,67.99395161290323
3,75.94096995427824,67.76820705421294,77.87298387096774,76.31048387096774
4,76.25122468974527,94.40622958850425,78.4274193548387,95.76612903225806
5,76.3226649248857,97.83638145003266,78.125,98.7399193548387
6,76.54412965382103,98.27012573481385,78.27620967741936,99.09274193548387
7,76.97277106466362,98.50485793598955,78.2258064516129,99.04233870967742
8,77.58919823644676,98.66917047681254,79.53629032258064,98.03427419354838
9,78.20154310907904,98.76408393207055,79.53629032258064,98.63911290322581
10,78.4944480731548,98.81817439581972,79.53629032258064,98.99193548387096
11,78.86695787067276,98.90288210320053,81.3508064516129,99.09274193548387
12,79.6374918354017,98.96717831482691,81.40120967741936,98.4375
13,79.94876714565643,99.09883246244284,81.5524193548387,98.99193548387096
14,80.39577890267799,99.18660189418681,82.10685483870968,99.39516129032258
15,80.70195133899412,99.12332625734814,81.75403225806451,99.14314516129032
16,81.0754817112998,99.14271717831483,82.25806451612904,99.64717741935483
17,82.37161169170477,99.25600097975179,84.6774193548387,99.39516129032258
18,86.43451992161985,99.29274167210973,87.24798387096774,99.6975806451613
19,89.99836708033965,99.33662638798171,90.07056451612904,99.49596774193549
20,93.25195950359242,99.3907168517309,91.98588709677419,99.74798387096774
21,94.68280535597648,99.4009225996081,93.4475806451613,99.64717741935483
22,95.52682070542129,99.44888961463096,93.8508064516129,99.24395161290323
23,96.06772534291314,99.44378674069236,93.6491935483871,99.44556451612904
24,96.6198563030699,99.43868386675375,94.60685483870968,99.24395161290323
25,97.00767472240366,99.44888961463096,94.65725806451613,98.94153225806451
26,97.23220117570216,99.46011593729588,95.06048387096774,99.49596774193549
27,97.65982201175702,99.50400065316786,95.76612903225806,99.04233870967742
28,97.74555029392553,99.46215708687133,95.86693548387096,99.49596774193549
29,97.95578870019595,99.5009389288047,95.96774193548387,99.49596774193549
30,98.12112181580666,99.55196766819073,95.56451612903226,99.29435483870968
